station_id,city,date,pm25,pm10,no2,o3,temp,humidity,wind_speed
PL0001,Katowice,2020-01-01,23.76,34.59,46.28,154.55,13.3,82.7,3.49
PL0001,Katowice,2020-01-02,4.28,7.02,7.75,95.93,16.2,31.0,4.24
PL0001,Katowice,2020-01-03,3.78,36.25,30.14,39.14,18.3,67.9,3.87
PL0001,Katowice,2020-01-04,15.47,16.03,16.77,29.51,21.6,84.1,2.7
PL0001,Katowice,2020-01-05,22.51,1.31,56.71,42.55,12.9,73.7,8.71
PL0001,Katowice,2020-01-06,15.18,22.38,50.27,32.19,15.5,43.8,5.33
PL0001,Katowice,2020-01-07,12.17,64.58,22.72,53.19,8.0,87.4,3.35
PL0001,Katowice,2020-01-08,10.46,35.69,6.79,3.7,19.5,70.8,1.94
PL0001,Katowice,2020-01-09,9.12,14.84,7.54,47.58,-7.2,32.4,3.56
PL0001,Katowice,2020-01-10,27.5,29.39,25.88,41.97,9.4,37.5,6.88
PL0001,Katowice,2020-01-11,16.97,50.01,10.32,58.38,11.4,51.0,1.01
PL0001,Katowice,2020-01-12,9.74,61.45,8.04,24.14,13.7,89.7,5.86
PL0001,Katowice,2020-01-13,7.49,51.07,36.06,14.75,28.5,72.5,5.85
PL0001,Katowice,2020-01-14,20.7,24.05,6.61,12.2,27.7,84.5,3.45
PL0001,Katowice,2020-01-15,27.07,42.74,14.57,30.66,6.5,68.6,4.72
PL0001,Katowice,2020-01-16,25.45,34.36,10.72,25.04,10.3,81.6,4.03
PL0001,Katowice,2020-01-17,6.41,29.59,13.65,42.14,29.1,44.3,3.33
PL0001,Katowice,2020-01-18,10.39,3.9,63.91,13.97,-1.5,40.5,2.06
PL0001,Katowice,2020-01-19,8.97,5.25,18.1,8.01,17.8,35.2,4.56
PL0001,Katowice,2020-01-20,11.51,10.38,25.11,31.36,1.5,53.1,9.55
PL0001,Katowice,2020-01-21,23.61,63.16,26.67,24.37,14.2,38.0,2.44
PL0001,Katowice,2020-01-22,32.82,22.03,24.93,57.37,10.3,71.8,6.36
